title,link
Countries gather to thrash out deal on 'plastic crisis',https://www.bbc.com/news/articles/cm2kem4plr5o?at_medium=RSS&at_campaign=rss
Mission begins to save snails threatened by own beauty,https://www.bbc.com/news/articles/clyrv8ndzzjo?at_medium=RSS&at_campaign=rss
Russian volcano erupts for first time in more than 500 years,https://www.bbc.com/news/articles/c0r7qlwg4zro?at_medium=RSS&at_campaign=rss
"2,500-year-old Siberian 'ice mummy' had intricate tattoos, imaging reveals",https://www.bbc.com/news/articles/c4gzx0zm68vo?at_medium=RSS&at_campaign=rss
"'Communities' of strange, extreme life seen for first time in deep ocean",https://www.bbc.com/news/articles/c3wnqe5j99do?at_medium=RSS&at_campaign=rss
Why did Russian mega earthquake not cause more tsunami damage?,https://www.bbc.com/news/articles/c0l6pj7kjg7o?at_medium=RSS&at_campaign=rss
UK gets first female Astronomer Royal in 350 years,https://www.bbc.com/news/articles/c741lll88q5o?at_medium=RSS&at_campaign=rss
Thousands of river pollution tests cancelled because of staff shortages,https://www.bbc.com/news/articles/cx24xy8zgp4o?at_medium=RSS&at_campaign=rss
Unique 1.5m year-old ice to be melted to unlock mystery,https://www.bbc.com/news/articles/c5ygwd6yj28o?at_medium=RSS&at_campaign=rss
"Tiny creatures gorge, get fat, and help fight global warming",https://www.bbc.com/news/articles/c628nnz3rp9o?at_medium=RSS&at_campaign=rss
Ancient Egyptian history may be rewritten by DNA bone test,https://www.bbc.com/news/articles/c1dnnyz0z6do?at_medium=RSS&at_campaign=rss
Recent droughts are 'slow-moving global catastrophe' - UN report,https://www.bbc.com/news/articles/ckg33r1xgymo?at_medium=RSS&at_campaign=rss
Will there be a drought where I live?,https://www.bbc.com/news/articles/crk661074ejo?at_medium=RSS&at_campaign=rss
Work begins to create artificial human DNA from scratch,https://www.bbc.com/news/articles/c6256wpn97ro?at_medium=RSS&at_campaign=rss
India sends its first astronaut into space in 41 years,https://www.bbc.com/news/articles/cz09lx2gjm4o?at_medium=RSS&at_campaign=rss
First celestial image unveiled from revolutionary telescope,https://www.bbc.com/news/articles/cj3rmjjgx6xo?at_medium=RSS&at_campaign=rss
"Plastic bag bans and fees curb US shoreline litter, study suggests",https://www.bbc.com/news/articles/cdeznkxyek0o?at_medium=RSS&at_campaign=rss
Killer whales make kelp tools to 'massage' each other,https://www.bbc.com/news/articles/cwyqll5n2qro?at_medium=RSS&at_campaign=rss
"Huge Roman 'jigsaw' reveals 2,000-year-old wall paintings",https://www.bbc.com/news/articles/c5y5w1ldz8do?at_medium=RSS&at_campaign=rss
"Three years left to limit warming to 1.5C, leading scientists warn",https://www.bbc.com/news/articles/cn4l927dj5zo?at_medium=RSS&at_campaign=rss
England needs more hosepipe bans and smart water meters - watchdog,https://www.bbc.com/news/articles/cj939kpnvx8o?at_medium=RSS&at_campaign=rss
'Forever chemical' found in all but one of tested UK rivers,https://www.bbc.com/news/articles/cm2yjxxvx08o?at_medium=RSS&at_campaign=rss
Warning over 'dirty secret' of toxic chemicals on farmers' fields,https://www.bbc.com/news/articles/c3e5y85p488o?at_medium=RSS&at_campaign=rss
"Oceans cannot become 'wild west', warns UN chief",https://www.bbc.com/news/articles/c057qrd9eejo?at_medium=RSS&at_campaign=rss
UK proposes wider ban on destructive ocean bottom trawling,https://www.bbc.com/news/articles/c3v507lx0e3o?at_medium=RSS&at_campaign=rss
William warns ocean life 'diminishing before our eyes',https://www.bbc.com/news/articles/c3d4387x1d0o?at_medium=RSS&at_campaign=rss
Soviet-era spacecraft 'likely' to have re-entered Earth's atmosphere,https://www.bbc.com/news/articles/cy9vz28nyedo?at_medium=RSS&at_campaign=rss
The truth about life on other planets - and what it means for humans,https://www.bbc.com/news/articles/cp8jwj90ejno?at_medium=RSS&at_campaign=rss
Astronauts Butch and Suni finally back on Earth,https://www.bbc.com/news/articles/c0mw221z2yyo?at_medium=RSS&at_campaign=rss
"Why scientists are counting tiny marine creatures, from Space",https://www.bbc.com/news/articles/c20g41845jdo?at_medium=RSS&at_campaign=rss
"Asteroid contains building blocks of life, say scientists",https://www.bbc.com/news/articles/c7vd1zjlr5lo?at_medium=RSS&at_campaign=rss
SpaceX Starship test fails after Texas launch,https://www.bbc.com/news/articles/cwy77x09y0po?at_medium=RSS&at_campaign=rss
Rocket launch challenges Elon Musk's space dominance,https://www.bbc.com/news/articles/cx24eg7z7zgo?at_medium=RSS&at_campaign=rss
Future of space travel: Could robots really replace human astronauts?,https://www.bbc.com/news/articles/cy7keddnj31o?at_medium=RSS&at_campaign=rss
New study on moons of Uranus raises chance of life,https://www.bbc.com/news/articles/cgk1333k0ypo?at_medium=RSS&at_campaign=rss
Countries gather to thrash out deal on 'plastic crisis',https://www.bbc.com/news/articles/cm2kem4plr5o?at_medium=RSS&at_campaign=rss
"New Brazil development law risks Amazon deforestation, UN expert warns",https://www.bbc.com/news/articles/cy98jqr4p0xo?at_medium=RSS&at_campaign=rss
US to scrap landmark finding that sets limit on carbon emissions,https://www.bbc.com/news/articles/c0mlzz1gy39o?at_medium=RSS&at_campaign=rss
Top UN court says countries can sue each other over climate change,https://www.bbc.com/news/articles/ce379k4v3pwo?at_medium=RSS&at_campaign=rss
Government raises maximum price for wind energy,https://www.bbc.com/news/articles/cly8ynegwn4o?at_medium=RSS&at_campaign=rss
The 'underwater bushfire' cooking Australia's reefs,https://www.bbc.com/news/articles/cly82glepwyo?at_medium=RSS&at_campaign=rss
Unique 1.5m year-old ice to be melted to unlock mystery,https://www.bbc.com/news/articles/c5ygwd6yj28o?at_medium=RSS&at_campaign=rss
Kew Gardens' Palm House will close for five years for major makeover,https://www.bbc.com/news/articles/cpwq08rxxklo?at_medium=RSS&at_campaign=rss
What are the risks of bombing Iran's nuclear sites?,https://www.bbc.com/news/articles/c5ykjvl1y9jo?at_medium=RSS&at_campaign=rss
"Huge Roman 'jigsaw' reveals 2,000-year-old wall paintings",https://www.bbc.com/news/articles/c5y5w1ldz8do?at_medium=RSS&at_campaign=rss
Ship footage captures sound of Titan sub imploding,https://www.bbc.com/news/articles/c5yg5qggvwjo?at_medium=RSS&at_campaign=rss
Solving the mystery of a dinosaur mass grave at the 'River of Death',https://www.bbc.com/news/articles/c0k3x8lmje1o?at_medium=RSS&at_campaign=rss
Melting glaciers threaten to wipe out European villages - is the steep cost to protect them worth it?,https://www.bbc.com/news/articles/cj4w9ggzxv4o?at_medium=RSS&at_campaign=rss
Why plane turbulence is becoming more frequent - and more severe,https://www.bbc.com/news/articles/ckgy7jx082ro?at_medium=RSS&at_campaign=rss
The fate of the Sycamore Gap tree has shed light on a deeper concern,https://www.bbc.com/news/articles/cnvmpz5qqe5o?at_medium=RSS&at_campaign=rss
This burger was made from cow cells in a lab. Should it really be served in restaurants?,https://www.bbc.com/news/articles/cgrxnlpln24o?at_medium=RSS&at_campaign=rss
Planes are having their GPS hacked. Could new clocks keep them safe?,https://www.bbc.com/news/articles/cq6yg204pvmo?at_medium=RSS&at_campaign=rss
BBC Inside Science,https://www.bbc.co.uk/sounds/play/m002gg7p?at_medium=RSS&at_campaign=rss
BBC Inside Science,https://www.bbc.co.uk/sounds/play/m002g4q5?at_medium=RSS&at_campaign=rss
BBC Inside Science,https://www.bbc.co.uk/sounds/play/m002fwqr?at_medium=RSS&at_campaign=rss
BBC Inside Science,https://www.bbc.co.uk/sounds/play/m002fljl?at_medium=RSS&at_campaign=rss
