title,link,sentiment
"UN plastic pollution talks must result in ambitious treaty, leading expert says",https://www.theguardian.com/environment/2025/aug/05/un-plastic-pollution-talks-must-result-in-ambitious-treaty-leading-expert-says,positive
Scientists identify bacterium behind devastating wasting disease in starfish,https://www.theguardian.com/environment/2025/aug/05/bacterium-starfish-sea-stars-wasting-disease-british-columbia,negative
Shein fined €1m in Italy for misleading environmental claims about products,https://www.theguardian.com/business/2025/aug/05/shein-fined-1m-in-italy-for-misleading-environmental-claims-about-products,neutral
Country diary: Summer’s silence still needs to be heard | Mark Cocker,https://www.theguardian.com/environment/2025/aug/05/country-diary-summers-silence-still-needs-to-be-heard,neutral
Joy and relief as lotus flowers bloom again in Kashmiri lake after three decades,https://www.theguardian.com/environment/2025/aug/05/wular-lake-kashmir-lotus-flowers-bloom-after-three-decades-aoe,positive
Pushing airport expansion while rail travel languishes – so much for Labour’s green agenda | Polly Toynbee,https://www.theguardian.com/commentisfree/2025/aug/05/airport-expansion-labour-climate-damage,neutral
This New York City island was once a military base. Now it’s becoming a climate solutions hub – in pictures,https://www.theguardian.com/environment/gallery/2025/aug/04/governors-island-climate-solutions-hub,neutral
‘The forest had gone’: the storm that moved a mountain,https://www.theguardian.com/world/2025/aug/05/forest-gone-storm-that-moved-a-mountain-climate-crisis-environment,neutral
One giant leap for bettongs released into sanctuary as wildlife conservancy aims to operate on 5% of Australia,https://www.theguardian.com/australia-news/2025/aug/04/one-giant-leap-for-bettongs-released-into-sanctuary-as-wildlife-conservancy-aims-to-operate-on-5-of-australia,neutral
Does Queensland have a crocodile problem or a people problem?,https://www.theguardian.com/environment/2025/aug/03/queensland-crocodile-cull-problem-qld-people,neutral
The Guardian view on the green transition: renewables are the future – but countries’ actions must catch up with their promises | Editorial,https://www.theguardian.com/commentisfree/2025/aug/01/the-guardian-view-on-the-green-transition-renewables-are-the-future-but-countries-actions-must-catch-up-with-their-promises,neutral
"He may talk rubbish but Trump has an eye for beauty, and that is a breath of fresh air | Simon Jenkins",https://www.theguardian.com/commentisfree/2025/aug/01/donald-trump-beauty-wind-turbines-natural-landscape,positive
Jason White on water management – cartoon,https://www.theguardian.com/commentisfree/picture/2025/jul/31/jason-white-on-water-management-cartoon,neutral
The Guardian view on England’s riverbanks: landscapes that everyone should be able to enjoy | Editorial,https://www.theguardian.com/commentisfree/2025/jul/30/the-guardian-view-on-englands-riverbanks-landscapes-that-everyone-should-be-able-to-enjoy,positive
‘Best job in the natural world’: seed collector enlisted as modern-day Darwin to document the world’s plants,https://www.theguardian.com/environment/2025/jul/31/matthew-jeffery-expedition-botanist-best-job-darwin-cambridge-university-botanic-garden-aoe,positive
Gorilla habitats and pristine forest at risk as DRC opens half of country to oil and gas drilling bids,https://www.theguardian.com/environment/2025/jul/29/gorilla-habitats-pristine-forest-at-risk-as-drc-opens-half-of-country-to-oil-and-gas-drilling-bids-aoe,negative
"The life of microplastic: how fragments move through plants, insects, animals – and you",https://www.theguardian.com/news/ng-interactive/2025/jul/28/the-life-of-microplastic-how-fragments-move-through-plants-insects-animals-and-you,neutral
"Polar bears in shopping malls, fibreglass mountains, indoor rainforests: how humans got addicted to faking the natural world",https://www.theguardian.com/environment/2025/jul/24/humans-addicted-faking-natural-world-anthropocene-illusion-zed-nelson-aoe,negative
Experts baffled as rarely seen beaked whales involved in series of strandings,https://www.theguardian.com/environment/2025/jul/30/beaked-whales-strandings-july-western-ireland-orkney-netherlands,positive
"I’m obsessed with snorkelling in Scotland: starfish below, sea eagles overhead – and it really isn’t that cold",https://www.theguardian.com/environment/2025/jul/29/im-obsessed-with-snorkelling-in-scotland-starfish-sea-eagles-not-that-cold,negative
Thousands of tons of invasive seaweed ‘overwhelming’ Spanish beaches,https://www.theguardian.com/environment/2025/jul/27/thousands-of-tons-of-invasive-seaweed-overwhelming-spanish-beaches,positive
How flood-ravaged Boston took on the climate deniers – and won,https://www.theguardian.com/environment/2025/jul/24/flood-boston-climate-deniers-trump-administration-coastal-city-resilient,neutral
Spot the human! Bodies embedded in nature – in pictures,https://www.theguardian.com/artanddesign/gallery/2025/aug/05/human-bodies-in-nature-pictures-azita-gandjei-photos,neutral
Brush-tailed bettongs released into Mount Gibson sanctuary – video,https://www.theguardian.com/environment/video/2025/aug/04/brush-tailed-bettongs-released-into-mount-gibson-sanctuary-video,neutral
"Week in wildlife: a hippo with a hitchhiker, a wallaby jailbreak and a fly on the wall",https://www.theguardian.com/environment/gallery/2025/aug/01/week-in-wildlife-a-hippo-with-a-hitchhiker-a-wallaby-jailbreak-and-a-fly-on-the-wall,positive
